Year,Type,Country,Sex ,Age,Fatal (Y/N)
2011.0,Unprovoked,BRAZIL,M,35,N
2011.0,Unprovoked,REUNION,M,42,N
2011.0,Unprovoked,USA,M,27,N
2011.0,Unprovoked,SCOTLAND,M,26,N
2011.0,Unprovoked,AUSTRALIA,M,32,Y
2011.0,Unprovoked,USA,M,41,N
2011.0,Unprovoked,AUSTRALIA,M,50,N
2011.0,Unprovoked,AUSTRALIA,M,64,Y
2011.0,Boat,REUNION,M,51,N
2011.0,Unprovoked,USA,M,29,N
2011.0,Invalid,USA,M,27,N
2011.0,Provoked,DOMINICAN REPUBLIC,M,48,N
2011.0,Unprovoked,SOUTH AFRICA,M,43,N
2011.0,Unprovoked,USA,M,21,N
2011.0,Unprovoked,USA,M,5,N
2011.0,Unprovoked,REUNION,M,38,Y
2011.0,Unprovoked,KENYA,M,17,Y
2011.0,Unprovoked,USA,M,25,N
2011.0,Unprovoked,USA,M,37,N
2011.0,Unprovoked,PAPUA NEW GUINEA,M,30,N
2011.0,Unprovoked,AUSTRALIA,M,21,Y
2011.0,Unprovoked,USA,M,19,N
2011.0,Unprovoked,USA,M,19,N
2011.0,Invalid,AUSTRALIA,M,48,Y
2011.0,Unprovoked,USA,F,39,N
2011.0,Unprovoked,USA,M,21,N
2011.0,Unprovoked,USA,M,10,N
2011.0,Unprovoked,SOUTH AFRICA,M,49,Y
2011.0,Unprovoked,RUSSIA,M,16,N
2011.0,Unprovoked,USA,F,20s,N
2011.0,Invalid,USA,M,12,N
2011.0,Unprovoked,RUSSIA,M,25,N
2011.0,Unprovoked,FRENCH POLYNESIA,M,32,N
2011.0,Unprovoked,USA,M,27,N
2011.0,Unprovoked,SEYCHELLES,M,30,Y
2011.0,Invalid,USA,M,7,N
2011.0,Unprovoked,USA,M,54,N
2011.0,Unprovoked,SEYCHELLES,M,36,Y
2011.0,Invalid,BRAZIL,M,14,Y
2011.0,Sea Disaster,PHILIPPINES,M,43,N
2011.0,Unprovoked,SOUTH AFRICA,M,29,N
2011.0,Unprovoked,USA,F,6,N
2011.0,Unprovoked,BAHAMAS,M,54,N
2011.0,Unprovoked,USA,M,12,N
2011.0,Unprovoked,USA,M,14,N
2011.0,Unprovoked,REUNION,M,16,N
2011.0,Unprovoked,COLUMBIA,M,17,N
2011.0,Unprovoked,TURKS & CAICOS,M,28,N
2011.0,Unprovoked,BRAZIL,M,21,N
2011.0,Unprovoked,SOUTH AFRICA,M,22,N
2011.0,Unprovoked,USA,F,10,N
2011.0,Unprovoked,USA,M,20,N
2011.0,Unprovoked,TURKS & CAICOS,M,35,N
2011.0,Unprovoked,COSTA RICA,M,15,Y
2011.0,Unprovoked,REUNION,M,31,Y
2011.0,Unprovoked,USA,M,28,N
