Year,Type,Country,Sex ,Age,Fatal (Y/N)
2012.0,INVALID,AUSTRALIA,M,,N
2012.0,UNPROVOKED,MEXICO,M,,Y
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,F,,N
2012.0,UNPROVOKED,USA,M,,Y
2012.0,UNPROVOKED,USA,F,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,NIGERIA,F,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,TONGA,F,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,M,S,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,F,,N
2012.0,UNPROVOKED,USA,F,,N
2012.0,PROVOKED,SCOTLAND,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,BRAZIL,M,,Y
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,REUNION,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,INVALID,USA,M,,N
2012.0,UNPROVOKED,REUNION,M,,Y
2012.0,INVALID,TRINIDADTOBAGO,M,,Y
2012.0,INVALID,CANADA,F,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,Y
2012.0,UNPROVOKED,USA,F,,N
2012.0,INVALID,AUSTRALIA,F,,Y
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,SOUTHAFRICA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,F,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,INVALID,USA,M,,N
2012.0,UNPROVOKED,USA,F,,N
2012.0,PROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,F,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,PROVOKED,ITALY,M,,
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,USA,F,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,F,,N
2012.0,UNPROVOKED,MEXICO,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,FIJI,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,F,,N
2012.0,UNPROVOKED,USA,F,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,SOUTHAFRICA,M,,Y
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,Y
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,USA,F,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,PROVOKED,AUSTRALIA,F,,N
2012.0,UNPROVOKED,REUNION,M,,N
2012.0,UNPROVOKED,USA,M,,N
2012.0,INVALID,SAUDIARABIA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,PROVOKED,TAIWAN,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,SOUTHAFRICA,M,,Y
2012.0,UNPROVOKED,USA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2012.0,UNPROVOKED,AUSTRALIA,M,,N
2011.0,UNPROVOKED,ECUADOR,M,,N
2011.0,UNPROVOKED,USA,M,,N
2011.0,UNPROVOKED,SOUTHAFRICA,M,,N
2011.0,UNPROVOKED,AUSTRALIA,M,,N
2011.0,UNPROVOKED,AUSTRALIA,M,,N
2011.0,UNPROVOKED,AUSTRALIA,M,,N
2011.0,UNPROVOKED,INDONESIA,M,,N
2011.0,UNPROVOKED,AUSTRALIA,M,,N
2011.0,UNPROVOKED,BRAZIL,M,,N
2011.0,UNPROVOKED,REUNION,M,,N
2011.0,UNPROVOKED,USA,M,,N
2011.0,UNPROVOKED,SCOTLAND,M,,N
2011.0,UNPROVOKED,AUSTRALIA,M,,Y
2011.0,UNPROVOKED,USA,M,,N
2011.0,UNPROVOKED,AUSTRALIA,M,,N
2011.0,UNPROVOKED,AUSTRALIA,M,,Y
2011.0,BOAT,REUNION,M,,N
2011.0,UNPROVOKED,USA,M,,N
2011.0,INVALID,USA,M,,N
2011.0,PROVOKED,DOMINICANREPUBLIC,M,,N
2011.0,UNPROVOKED,SOUTHAFRICA,M,,N
2011.0,UNPROVOKED,USA,M,,N
2011.0,UNPROVOKED,USA,M,,N
2011.0,UNPROVOKED,REUNION,M,,Y
2011.0,UNPROVOKED,KENYA,M,,Y
2011.0,UNPROVOKED,USA,M,,N
2011.0,UNPROVOKED,USA,M,,N
2011.0,UNPROVOKED,PAPUANEWGUINEA,M,,N
2011.0,UNPROVOKED,AUSTRALIA,M,,Y
2011.0,UNPROVOKED,USA,M,,N
2011.0,UNPROVOKED,USA,M,,N
2011.0,INVALID,AUSTRALIA,M,,Y
2011.0,UNPROVOKED,USA,F,,N
2011.0,UNPROVOKED,USA,M,,N
2011.0,UNPROVOKED,USA,M,,N
2011.0,UNPROVOKED,SOUTHAFRICA,M,,Y
2011.0,UNPROVOKED,RUSSIA,M,,N
2011.0,UNPROVOKED,USA,F,S,N
2011.0,INVALID,USA,M,,N
2011.0,UNPROVOKED,RUSSIA,M,,N
2011.0,UNPROVOKED,FRENCHPOLYNESIA,M,,N
